filepath	title
data/datasets/train/train_images/urswhrumhe.jpg	white Audi SUV
data/datasets/train/train_images/udjscszxup.jpg	white Audi Sedan
data/datasets/train/train_images/lfgkiajoxy.jpg	white Audi Sedan
data/datasets/train/train_images/axobosoefw.jpg	white Audi Sedan
data/datasets/train/train_images/gqcicmmtab.jpg	white Audi Sedan
data/datasets/train/train_images/erewyiyyov.jpg	white Audi Sedan
data/datasets/train/train_images/cregtnfqxf.jpg	white Audi Sedan
data/datasets/train/train_images/mrtjwpoynk.jpg	white Audi Sedan
data/datasets/train/train_images/pmitevanhx.jpg	white Audi Sedan
data/datasets/train/train_images/kusojqtbxx.jpg	white Audi Sedan
data/datasets/train/train_images/pcxevesemo.jpg	white Audi Sedan
data/datasets/train/train_images/lomwexkocx.jpg	white Audi Sedan
data/datasets/train/train_images/rmxvykjjpd.jpg	white Audi Sedan
data/datasets/train/train_images/szliyxnvtq.jpg	white Audi Sedan
data/datasets/train/train_images/sflnxaanat.jpg	white Audi Sedan
data/datasets/train/train_images/njhpsktjqn.jpg	white Audi Sedan
data/datasets/train/train_images/znwiaggqnf.jpg	white Audi SUV
data/datasets/train/train_images/agbkwgddyx.jpg	white Audi Sedan
data/datasets/train/train_images/ljxfkfiwjm.jpg	white Audi Sedan
data/datasets/train/train_images/zggnvnzddg.jpg	white Audi Sedan
data/datasets/train/train_images/huyrvidakg.jpg	white Audi SUV
data/datasets/train/train_images/dwiwhhvoah.jpg	white Audi Sedan
data/datasets/train/train_images/yurljbntxc.jpg	white Audi Sedan
data/datasets/train/train_images/cnyffteaqi.jpg	white Audi Sedan
data/datasets/train/train_images/epqujsfezx.jpg	white Audi Sedan
data/datasets/train/train_images/eajgmdtyfg.jpg	white Audi Sedan
data/datasets/train/train_images/tmqglkrtnw.jpg	white Audi Sedan
data/datasets/train/train_images/fujkwwujoq.jpg	white Audi Truck
data/datasets/train/train_images/humloqftwg.jpg	white Audi Truck
data/datasets/train/train_images/htozrrrcgl.jpg	white Audi Sedan
data/datasets/train/train_images/tsqmlqsrtf.jpg	white Audi Sedan
data/datasets/train/train_images/litkcfpele.jpg	white Audi Sedan
data/datasets/train/train_images/msxgbcqjjd.jpg	white Audi Sedan
data/datasets/train/train_images/qgyocmjrxt.jpg	white Audi Sedan
data/datasets/train/train_images/cpopqdqgxw.jpg	white Audi Sedan
data/datasets/train/train_images/vkepgqxqqc.jpg	white Audi Sedan
data/datasets/train/train_images/aalvohglxr.jpg	white Audi Sedan
data/datasets/train/train_images/gyajdlfuon.jpg	white Audi Sedan
data/datasets/train/train_images/vmdqnuticm.jpg	white Audi Sedan
data/datasets/train/train_images/optnfjllju.jpg	white Audi Sedan
data/datasets/train/train_images/gvytblkhnl.jpg	white Audi Sedan
data/datasets/train/train_images/vlqyjhxfxy.jpg	white Audi Sedan
data/datasets/train/train_images/iqndkpnipn.jpg	white Audi Sedan
data/datasets/train/train_images/mlmiwfrmdr.jpg	white Audi Sedan
data/datasets/train/train_images/edhypdtruu.jpg	white Audi SUV
data/datasets/train/train_images/aqqwoeevky.jpg	white Audi SUV
data/datasets/train/train_images/jditrvosho.jpg	white Audi Sedan
data/datasets/train/train_images/epiaownfqp.jpg	white Audi Sedan
data/datasets/train/train_images/jshfzpzagh.jpg	white Audi Sedan
data/datasets/train/train_images/noaxgbduno.jpg	white Audi Sedan
